X0,,,3 mm pin,,,,,,,
channel,effective area,effective area err,rate spectrum at 10 arcmin,err,5 arcmin,err,2 arcmin,err,0 arcmin,err
0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
1,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
2,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
186,0,0,0.066666667,0.033333333,0.1,0.040824829,0.25,0.064549722,0.2,0.057735027
187,0,0,0.083333333,0.0372678,0.066666667,0.033333333,0.133333333,0.047140452,0.116666667,0.044095855
188,0,0,0,0,0.15,0.05,0.183333333,0.05527708,0.2,0.057735027
189,0,0,0.033333333,0.023570226,0.05,0.028867513,0.233333333,0.062360956,0.233333333,0.062360956
190,#DIV/0!,#DIV/0!,0,0,0.116666667,0.044095855,0.183333333,0.05527708,0.216666667,0.060092521
191,0,0,0,0,0.016666667,0.016666667,0.133333333,0.047140452,0.116666667,0.044095855
192,0,0,0,0,0.116666667,0.044095855,0.15,0.05,0.15,0.05
193,#DIV/0!,#DIV/0!,0.033333333,0.023570226,0.083333333,0.0372678,0.116666667,0.044095855,0.183333333,0.05527708
194,#DIV/0!,#DIV/0!,0,0,0.05,0.028867513,0.2,0.057735027,0.15,0.05
195,#DIV/0!,#DIV/0!,0,0,0.05,0.028867513,0.1,0.040824829,0.15,0.05
196,#DIV/0!,#DIV/0!,0,0,0.066666667,0.033333333,0.116666667,0.044095855,0.266666667,0.066666667
197,#DIV/0!,#DIV/0!,0.05,0.028867513,0.033333333,0.023570226,0.1,0.040824829,0.066666667,0.033333333
198,#DIV/0!,#DIV/0!,0.033333333,0.023570226,0.05,0.028867513,0.2,0.057735027,0.1,0.040824829
199,#DIV/0!,#DIV/0!,0.05,0.028867513,0.066666667,0.033333333,0.116666667,0.044095855,0.083333333,0.0372678
200,#DIV/0!,#DIV/0!,0,0,0.05,0.028867513,0.15,0.05,0.066666667,0.033333333
201,#DIV/0!,#DIV/0!,0,0,0.033333333,0.023570226,0.066666667,0.033333333,0.1,0.040824829
202,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.033333333,0.023570226,0.05,0.028867513
203,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0.05,0.028867513,0.05,0.028867513,0,0
204,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0.033333333,0.023570226,0.016666667,0.016666667,0.083333333,0.0372678
205,#DIV/0!,#DIV/0!,0,0,0.033333333,0.023570226,0.016666667,0.016666667,0.033333333,0.023570226
206,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.066666667,0.033333333,0.066666667,0.033333333
207,#DIV/0!,#DIV/0!,0,0,0,0,0.033333333,0.023570226,0.066666667,0.033333333
208,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.05,0.028867513,0.083333333,0.0372678
209,#DIV/0!,#DIV/0!,0,0,0,0,0.083333333,0.0372678,0.05,0.028867513
210,#DIV/0!,#DIV/0!,0.033333333,0.023570226,0.05,0.028867513,0.033333333,0.023570226,0.016666667,0.016666667
211,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0.033333333,0.023570226,0.033333333,0.023570226,0.016666667,0.016666667
212,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0,0,0.1,0.040824829,0.016666667,0.016666667
213,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0,0,0.083333333,0.0372678,0.05,0.028867513
214,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.033333333,0.023570226,0.033333333,0.023570226
215,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
216,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0,0,0.05,0.028867513
217,#DIV/0!,#DIV/0!,0,0,0,0,0.016666667,0.016666667,0.05,0.028867513
218,#DIV/0!,#DIV/0!,0,0,0,0,0.033333333,0.023570226,0.016666667,0.016666667
219,#DIV/0!,#DIV/0!,0,0,0.033333333,0.023570226,0.016666667,0.016666667,0.033333333,0.023570226
220,0,0,0,0,0,0,0.05,0.028867513,0,0
221,#DIV/0!,#DIV/0!,0.016666667,0.016666667,0,0,0.016666667,0.016666667,0.016666667,0.016666667
222,#DIV/0!,#DIV/0!,0,0,0,0,0.016666667,0.016666667,0.066666667,0.033333333
223,#DIV/0!,#DIV/0!,0,0,0.033333333,0.023570226,0.033333333,0.023570226,0,0
224,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0.016666667,0.016666667,0,0
225,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
226,#DIV/0!,#DIV/0!,0,0,0,0,0.033333333,0.023570226,0.033333333,0.023570226
227,#DIV/0!,#DIV/0!,0,0,0,0,0.016666667,0.016666667,0.066666667,0.033333333
228,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0.066666667,0.033333333
229,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
230,#DIV/0!,#DIV/0!,0,0,0.016666667,0.016666667,0,0,0.05,0.028867513
231,#DIV/0!,#DIV/0!,0,0,0,0,0.016666667,0.016666667,0,0
232,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0.016666667,0.016666667
233,#DIV/0!,#DIV/0!,0,0,0,0,0.033333333,0.023570226,0.016666667,0.016666667
234,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
235,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
236,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
