channel,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
45.0,4.3585,1.1265197758202123,1.2690468053140214,1.3657512895053199,1.865276584785444,1.644098741617235,2.703060672187376,1.8267393556741436,3.336976673568785,1.9675873437778872,3.8713999553949217,2.106383044165005,4.436849528745834,2.0627680299983178,4.255011945583141,1.975520221247815,3.9026801445590156,1.379684454408684,1.9035291937369878,1.379684454408684,1.9035291937369878,1.0625683757345161,1.1290515531110878
46.0,4.465800000000001,0.9795316107563179,0.9594821764708666,1.3072510497711927,1.7089053071278852,1.5848929871038204,2.5118857805708705,1.6773200984081735,2.813402712524005,1.975257114989944,3.9016406703183972,2.0466446469845634,4.188754311030568,1.980481122362969,3.9223054760360854,1.7243880880140248,2.973514278084664,1.2425378217319234,1.543900238434313,1.2425378217319234,1.543900238434313,1.0111641230076513,1.0224528836578326
47.0,4.5731,0.9212367765515481,0.848677198471087,1.1276559966801358,1.2716080468486706,1.3419334435394916,1.800785366889758,1.4736887371143477,2.171758493897681,1.6152322845333569,2.608975332998847,1.650601214251339,2.724484368487995,1.5161642070528902,2.2987539027483193,1.463776105757877,2.1426404877876957,1.0921228421629732,1.1927323023741303,1.0921228421629732,1.1927323023741303,0.8998283378210454,0.8096910375457854
48.0,4.680400000000001,0.9709395351462045,0.9427235809099276,1.1730565986108112,1.3760617835443658,1.4387982401068522,2.0701403757345753,1.679252500528773,2.819888960532137,1.7753523109777927,3.151875828094189,1.9339863736170921,3.7403032933365905,1.8641397126604582,3.4750168683178155,1.55250921136638,2.4102848513774595,1.1847535884534168,1.403641065353248,1.1847535884534168,1.403641065353248,0.906317705179196,0.821411782721284
49.0,4.787700000000001,1.048728970390195,1.0998324533356785,1.3386833430539467,1.7920730929700905,1.618221073314943,2.618639442120566,1.7011896647709186,2.89404627552339,2.1172166160938852,4.482606199464042,1.9833839992608775,3.9338120885240726,1.9658545820821496,3.864584237893383,1.8335551140503104,3.3619243562600465,1.3130940620851317,1.7242160158832316,1.3130940620851317,1.7242160158832316,1.0936657082731722,1.1961046814526595
50.0,4.8950000000000005,1.031737833564715,1.0644829572088115,1.2250381223500877,1.5007184012110284,1.5024494569851565,2.257354370794992,1.7406211962904834,3.0297621489757134,1.7710664717175257,3.1366764472419653,1.8291796729010863,3.345898275754525,1.8706819263524888,3.499450869581858,1.5827953424921368,2.505241096214801,1.201424575532653,1.4434210106938152,1.201424575532653,1.4434210106938152,0.9411212272578626,0.8857091643953455
51.0,5.002300000000001,1.0136283401874373,1.0274424120311392,1.3416303222158548,1.7999719214890182,1.566175039783794,2.4529042552417684,1.790438899452746,3.2056714526735606,1.9011133715889839,3.614232051634434,1.855465096180255,3.442750723143203,1.9426062506908623,3.7737190452232094,1.7406211962904834,3.0297621489757134,1.2930664858733811,1.672020936888935,1.2930664858733811,1.672020936888935,1.0679385410624647,1.1404927274866254
52.0,5.1096,0.815485835437637,0.6650171477994208,1.0428889306313713,1.0876173216334453,1.238893203005168,1.5348563684524046,1.3612071101094703,1.8528847966125754,1.4039914929764201,1.9711921123501572,1.5760427104060282,2.4839106250239795,1.524137753556279,2.3229958918155806,1.2878328781817379,1.658513522125859,1.0152858586789586,1.0308053748334702,1.0152858586789586,1.0308053748334702,0.7836270193753315,0.6140713054950662
53.0,5.216900000000001,0.9147722759446588,0.836808316836971,1.1137205392137828,1.240373439466639,1.3506809531579815,1.8243390372237536,1.4607389117303098,2.13375816824305,1.656477096579878,2.7439163714937025,1.6751622811278544,2.8061686681134765,1.6850538923120562,2.8394066199960104,1.5542322980874306,2.4156380364181356,1.1037880368703537,1.2183480303381091,1.1037880368703537,1.2183480303381091,0.8826460682077839,0.77906408172266
54.0,5.3242,0.8620010192078194,0.7430457571153194,1.0801059264483666,1.1666288123488842,1.1410842858229966,1.3020733473521782,1.3312896574195587,1.772332151952286,1.4669903401171005,2.1520606579968864,1.4492148600267056,2.100223710522224,1.426759213136531,2.035641852269973,1.3996215461481214,1.9589404724420578,1.0106259437988099,1.0213647982792353,1.0106259437988099,1.0213647982792353,0.7497047775503007,0.562057253481746
55.0,5.431500000000001,0.684357994720886,0.4683458649383922,0.8897740603088237,0.7916978783984502,1.0521262255742296,1.1069695945410747,1.2319475183830444,1.5176946880501414,1.371894183891765,1.8820936517960523,1.3128573282711031,1.723594364395139,1.2675536008450459,1.6066921310152418,1.1858065413794387,1.4061371535782665,0.8499242230434727,0.7223711849160508,0.8499242230434727,0.7223711849160508,0.704799988751737,0.4967430241444486
56.0,5.538800000000001,0.8577544428782541,0.7357426842773841,1.0225289473564885,1.0455654481819683,1.2512934932764772,1.5657354063160493,1.3827126736146447,1.911894337774559,1.561099550640471,2.4370318070098804,1.5683405425965362,2.459692057551998,1.5122169838767372,2.286800206325256,1.4117004717348454,1.9928982218963849,1.0079826306451127,1.0160289836822418,1.0079826306451127,1.0160289836822418,0.7536436103827416,0.5679786914707337
57.0,5.646100000000001,0.8173612482303382,0.6680794101086565,1.1034895823407145,1.2176892583344845,1.2896560596845736,1.6632127522811406,1.4581688511828943,2.1262563985600416,1.5945170285974526,2.5424845544872494,1.6219601678401576,2.630754786060072,1.5496867812469162,2.4015291199714275,1.3977438414614036,1.9536878463432814,1.094309682231774,1.1975136806262061,1.094309682231774,1.1975136806262061,0.8588656614030303,0.7376502243372648
58.0,5.753400000000001,0.8938802511176173,0.7990219033380945,1.0796197100756906,1.1655787183839181,1.3427935582283277,1.8030945400194933,1.5011871846228417,2.253562963275854,1.6274484528049573,2.6485884665372494,1.6045798494867218,2.574676493378831,1.6128127751253254,2.6011650476074535,1.4975264004367561,2.242585320005068,1.0364517604675818,1.0742322517763496,1.0364517604675818,1.0742322517763496,0.8099777037456003,0.6560638805649954
59.0,5.8607000000000005,0.7744940460130395,0.5998410273096482,0.9332660352683221,0.870985492585453,1.0884702947785738,1.1847675826153554,1.2698547544375678,1.6125310973676956,1.384164290287147,1.9159107825061212,1.4471198037560409,2.0941557264229225,1.4121469933188995,1.9941591307396078,1.3079669587564264,1.7107775651985353,0.9137419450235219,0.8349243420953689,0.9137419450235219,0.8349243420953689,0.7392080496778242,0.5464285407084926
60.0,5.968000000000001,0.7856534619747146,0.6172513623128544,0.890316022480705,0.7926626198858632,1.081567635275672,1.1697885496758091,1.2549435043742094,1.5748831991710215,1.3801040351770353,1.9046871479119354,1.416471525729979,2.0063915832038144,1.3459123192450178,1.8114799710955025,1.257855331421056,1.582200034784375,0.9348933857860686,0.8740256427865389,0.9348933857860686,0.8740256427865389,0.7284422982063989,0.5306281818162203
61.0,6.0753,0.7830941258342108,0.6132364099160468,0.9500885061928562,0.902668169599773,1.1509347869637516,1.3246508838432964,1.2955387402995289,1.67842062761689,1.4020394215931171,1.9657145397011624,1.3715107305096803,1.881041683903197,1.3819357098007659,1.9097463060225466,1.2478515752768653,1.5571335539209543,0.931394687074331,0.867496063110291,0.931394687074331,0.867496063110291,0.7425517090901568,0.5513830406727128
62.0,6.182600000000001,0.6775316876873397,0.4590491878204549,0.876695000653527,0.7685941241708877,1.049974005559991,1.1024454123516922,1.1608960079137673,1.3476795411901217,1.2671007706599031,1.6055443630069204,1.2736947984312208,1.6222984395507483,1.2816072763570607,1.6425172108113635,1.1721141288499342,1.37385153104964,0.8747081409277666,0.7651143318053096,0.8747081409277666,0.7651143318053096,0.7108079861117541,0.5052479931202476
63.0,6.2899,0.8375551981300641,0.7014987099146909,0.9803138402797141,0.9610152254439609,1.2484660157503664,1.558667392483594,1.307134850715455,1.7086015179549148,1.4326771736073185,2.0525638837754547,1.4710004963321432,2.1638424602094117,1.4086276314399995,1.984231804056263,1.3439797007971372,1.8062814361547626,0.9825770292111995,0.9654576183335064,0.9825770292111995,0.9654576183335064,0.7648707377255245,0.585027245428788
64.0,6.397200000000001,0.8536740092946761,0.7287593141452466,1.102953129333571,1.2165056055067172,1.2718270864715595,1.6175441378827358,1.3654685333187344,1.8645043154836156,1.5487473828641332,2.398618455928502,1.5147322383990065,2.2944137540452645,1.5672992045553253,2.4564267965997555,1.3646948530564933,1.8623920419588837,1.0540990362959533,1.1111247783200573,1.0540990362959533,1.1111247783200573,0.8061722983409754,0.6499137746123705
65.0,6.504500000000001,0.7350275025143879,0.5402654294525384,0.8895974670306629,0.7913836533473714,1.123021275525858,1.261176785283725,1.278107982491169,1.6335600149076464,1.3378167415368296,1.7897536339362203,1.3565973999113663,1.8403565054462796,1.3686697079318308,1.8732567694102031,1.2096502436871421,1.4632537120523623,0.9017250794705823,0.813108118946228,0.9017250794705823,0.813108118946228,0.7363802084844022,0.5422558114475317
66.0,6.611800000000001,0.7209661139061607,0.5197921374009511,0.909477473117996,0.8271492741090951,1.1411227531769628,1.3021611378181714,1.2425072382729343,1.5438242371606343,1.3550761636891082,1.836231409398391,1.3696387473197127,1.8759102981595117,1.361033714738054,1.8524127726536666,1.2332333615282554,1.5208645239862806,0.9108070210537514,0.8295694296008088,0.9108070210537514,0.8295694296008088,0.6835442416736813,0.4672327303252481
